English,Hungarian
time,idő
year,év
people,emberek
way,út
day,nap
man,férfi
thing,dolog
woman,nő
life,élet
child,gyerek
world,világ
shool,iskola
state,állapot
family,család
student,diák
group,csoport
country,ország
problem,probléma
hand,kéz
part,rész
place,hely
case,ügy
week,hét
company,társaság
system,rendszer
program,program
question,kérdés
work,munka
government,kormány
number,szám
night,éjszaka
point,pont
home,otthon
water,víz
room,szoba
mother,anya
area,terület
money,pénz
story,történet
fact,tény
month,hónap
lot,sok
right,helyes
study,tanulmány
book,könyv
eye,szem
job,munka
word,szó
business,üzlet
issue,probléma
